ph,lat_centroide,lon_centroide,direccion_nueva,direccion_anterior,distancia_m,sec,mza,graf
9595,-32.9494415,-60.6522615,Mendoza 2017,Mendoza 2049,34.4,1.0,196.0,4.0
12206,-32.95062719152376,-60.6488181371089,Mendoza,Italia 1261,42.3,1.0,199.0,29.0
14820,-32.951081592143545,-60.64835688129696,3 de Febrero 1718,Mendoza,30.8,1.0,199.0,18.0
18362,-32.95103314258049,-60.64863679423868,3 de Febrero 1742,Mendoza,30.8,1.0,199.0,20.0
1729,-32.950640485873194,-60.64731370344484,Mendoza 1651,Mendoza 1651,46.8,1.0,200.0,4.0
11608,-32.9510820941512,-60.64599458056156,Presidente Roca 1253,Presidente Roca 1253,41.4,1.0,201.0,32.0
17684,-32.95091710798729,-60.645588694206566,Paraguay 1240,Paraguay 1238,32.7,1.0,201.0,12.0
17903,-32.95234698510545,-60.6387336234768,Sarmiento,José de San Martín 1254,46.3,1.0,206.0,17.0
1091,-32.95264722903529,-60.634187667072325,Buenos Aires 1214,Mendoza 743,47.9,1.0,209.0,3.0
21105,-32.953346626187795,-60.6320053429854,Mendoza,Juan Manuel de Rosas 1241,55.9,1.0,211.0,37.0
2921,-32.95325251936771,-60.63215052720612,Mendoza,Juan Manuel de Rosas 1235,39.8,1.0,211.0,38.0
21355,-32.95364233270156,-60.63066416514216,Primero de Mayo 1243,Primero de Mayo 1247,38.2,1.0,212.0,32.0
4111,-32.954122204348366,-60.6273699435915,Cristóbal Colón,Cristóbal Colón 1266,33.2,1.0,214.0,1.0
1020,-32.95420198898914,-60.62495177856868,Mendoza 55,Necochea 1213,54.9,1.0,216.0,1.0
10903,-32.954380959082194,-60.62470401899089,Cajaraville 32,Necochea 1213,84.0,1.0,216.0,1.0
12909,-32.954321390395485,-60.62480765838363,Avenida de la Libertad,Necochea 1213,71.5,1.0,216.0,1.0
1370,-32.95463732895583,-60.624875450729085,Cajaraville 51,Necochea 1213,77.7,1.0,216.0,1.0
14687,-32.954170000000005,-60.625104,Mendoza 69,Necochea 1213,38.4,1.0,216.0,1.0
1601,-32.95457328911604,-60.6254049491433,Cajaraville 97,Necochea 1213,38.2,1.0,216.0,1.0
1698,-32.954599277177415,-60.62519344953556,Cajaraville 79,Necochea 1213,49.5,1.0,216.0,1.0
2151,-32.95465,-60.62476949999999,Cajaraville 41,Necochea 1213,88.3,1.0,216.0,1.0
3161,-32.954561795110735,-60.62551784870152,Necochea 1247,Necochea 1213,37.6,1.0,216.0,1.0
3201,-32.95435172567696,-60.6250335445859,Cajaraville 64,Necochea 1213,47.6,1.0,216.0,1.0
3560,-32.954448666666664,-60.62460533333333,Cajaraville 22,Necochea 1213,96.4,1.0,216.0,1.0
5252,-32.95479198512022,-60.62482030549193,Cajaraville 45,Cajaraville 15,38.5,1.0,216.0,2.0
708,-32.95436733057851,-60.62492833057851,Cajaraville 54,Necochea 1213,59.3,1.0,216.0,1.0
834,-32.95458615492193,-60.62529917202986,Cajaraville 87,Necochea 1213,42.6,1.0,216.0,1.0
8677,-32.95520192641828,-60.62453880065368,3 de Febrero 12,Chacabuco 1304,30.3,1.0,216.0,3.0
2694,-32.950941315207594,-60.65248272019217,Mariano Moreno 1336,3 de Febrero 2033,30.0,1.0,218.0,14.0
8188,-32.951231295297646,-60.65313513766098,9 de Julio 2056,Balcarce 1381,50.2,1.0,218.0,22.0
