ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
22285,2023.0,1.0,11.0,17.0,,-32.9359156,-60.6486132,Mariano Moreno 94
22571,2024.0,1.0,11.0,22.0,,-32.93574233333333,-60.649174833333326,Jujuy 2056
3266,1969.0,1.0,11.0,33.0,,-32.935004,-60.64946699999999,Balcarce 21
347,1955.0,1.0,11.0,26.0,,-32.935705,-60.64948,Mariano Moreno 89
5529,1975.0,1.0,11.0,13.0,,-32.9353584,-60.6489392,Almirante Brown 3357
5558,1975.0,1.0,11.0,13.0,,-32.9353584,-60.6489392,Almirante Brown 3357
7535,1979.0,1.0,11.0,17.0,,-32.9359156,-60.6486132,Mariano Moreno 94
122,1952.0,1.0,7.0,14.0,,-32.934735625,-60.64707799999999,Manuel Dorrego 40 bis
12642,1991.0,1.0,12.0,9.0,,-32.93520959999999,-60.6470722,Almirante Brown 1901
13405,1994.0,1.0,12.0,2.0,,-32.935103857142856,-60.64797542857144,Almirante Brown 1993
14371,1998.0,1.0,12.0,13.0,,-32.9354155,-60.647234375,Almirante Brown 1911
14637,1999.0,1.0,12.0,23.0,,-32.93588666666667,-60.64764144444444,Jujuy 1936
1468,1962.0,1.0,12.0,6.0,,-32.93519883333334,-60.64744866666666,Almirante Brown 1937
15131,2001.0,1.0,12.0,12.0,,-32.935370285714285,-60.64713342857143,Manuel Dorrego 20
15135,2001.0,1.0,12.0,4.0,,-32.93529376923077,-60.647784,Almirante Brown 1969
15567,2004.0,1.0,12.0,5.0,,-32.93521,-60.6476718,Almirante Brown 1959
16362,2006.0,1.0,12.0,21.0,,-32.936077999999995,-60.6475288,Jujuy 1922
16640,2008.0,1.0,12.0,36.0,,-32.935398000000006,-60.64808214285715,Mariano Moreno 35
16732,2008.0,1.0,12.0,14.0,,-32.93550666666667,-60.64739188888888,Almirante Brown 1925
16845,2008.0,1.0,12.0,28.0,,-32.93595675,-60.648259625,Jujuy 1996
17113,2009.0,1.0,12.0,18.0,,-32.935876,-60.6472258,Manuel Dorrego 68
17383,2009.0,1.0,12.0,19.0,,-32.936158,-60.64725,Manuel Dorrego 66
18093,2011.0,1.0,12.0,38.0,,-32.9352024,-60.6481182,Mariano Moreno 19
18114,2011.0,1.0,12.0,39.0,,-32.9351188,-60.64812499999999,Mariano Moreno 11
1815,1964.0,1.0,12.0,15.0,,-32.9356418,-60.6471918,Manuel Dorrego 46
18328,2012.0,1.0,12.0,24.0,,-32.935875562499994,-60.647801,Jujuy 1952
18426,2012.0,1.0,12.0,6.0,,-32.93519883333334,-60.64744866666666,Almirante Brown 1937
18722,2013.0,1.0,12.0,1.0,,-32.93504916666667,-60.64808833333333,Almirante Brown 1999
1935,1965.0,1.0,12.0,33.0,,-32.935598600000006,-60.648233000000005,Mariano Moreno 57
19369,2014.0,1.0,12.0,37.0,,-32.9352865,-60.6480675,Mariano Moreno 25
20326,2017.0,1.0,12.0,29.0,,-32.93593916666667,-60.648346,Mariano Moreno 91
3240,1969.0,1.0,12.0,25.0,,-32.93578,-60.647912916666655,Jujuy 1957
484,1956.0,1.0,12.0,18.0,,-32.935876,-60.6472258,Manuel Dorrego 68
5371,1974.0,1.0,12.0,20.0,,-32.93607742857143,-60.64742485714286,Jujuy 1910
6312,1976.0,1.0,12.0,8.0,,-32.9352827,-60.6472122,Almirante Brown 1911
6719,1977.0,1.0,12.0,32.0,,-32.935700800000006,-60.64813259999999,Jujuy 1967
7473,1978.0,1.0,12.0,17.0,,-32.93580656990524,-60.64721164370778,Manuel Dorrego 62
8091,1979.0,1.0,12.0,15.0,,-32.93557631305422,-60.64747591980071,Manuel Dorrego 48
9250,1981.0,1.0,12.0,19.0,,-32.936158,-60.64725,Manuel Dorrego 66
12176,1989.0,1.0,13.0,28.0,,-32.936179625,-60.646919875,Jujuy 1913
125,1952.0,1.0,13.0,31.0,,-32.935904375,-60.646739,Manuel Dorrego 32
14024,1997.0,1.0,13.0,34.0,,-32.93551442857142,-60.64678657142856,Manuel Dorrego 25
17149,2009.0,1.0,13.0,12.0,,-32.93573916666667,-60.645968,Almirante Brown 1808
17493,2010.0,1.0,13.0,13.0,,-32.93581842857143,-60.64602985714287,Almirante Brown 1808
17885,2010.0,1.0,13.0,1.0,,-32.935327666666666,-60.64670583333333,Almirante Brown 1899
18544,2012.0,1.0,13.0,35.0,,-32.93545166666667,-60.646714333333335,Manuel Dorrego 19
18808,2013.0,1.0,13.0,32.0,,-32.935781,-60.64668,Manuel Dorrego 39
18844,2013.0,1.0,13.0,19.0,,-32.9363786,-60.6459484,Jujuy 1802
18968,2013.0,1.0,13.0,9.0,,-32.935448400000006,-60.64581979999999,Almirante Brown 1811
19000,2014.0,1.0,13.0,1.0,,-32.935327666666666,-60.64670583333333,Almirante Brown 1899
19655,2015.0,1.0,13.0,30.0,,-32.935997875,-60.64671237499999,Manuel Dorrego 45
20308,2017.0,1.0,13.0,32.0,,-32.935781,-60.64668,Manuel Dorrego 39
20328,2017.0,1.0,13.0,14.0,,-32.93593715,-60.64622645000001,Jujuy 1820
2051,1967.0,1.0,13.0,1.0,,-32.935327666666666,-60.64670583333333,Almirante Brown 1899
20732,2018.0,1.0,13.0,18.0,,-32.936248181818186,-60.64598872727274,Jujuy 1807
22846,2025.0,1.0,13.0,9.0,,-32.935448400000006,-60.64581979999999,Almirante Brown 1811
4716,1973.0,1.0,13.0,33.0,,-32.9356864,-60.646850400000005,Manuel Dorrego 43
7121,1978.0,1.0,13.0,25.0,,-32.93620388888888,-60.646658555555554,Manuel Dorrego 59
8017,1979.0,1.0,13.0,2.0,,-32.9353575,-60.646618,Almirante Brown 1895
863,1959.0,1.0,13.0,15.0,,-32.936005333333334,-60.64600933333335,Jujuy 1809
11199,1986.0,1.0,14.0,22.0,,-32.936411,-60.6455575,Jujuy 1800
